iteration	loss	n_p	w_0	w_1	c	ID	y	mean	mean_prob	mode	mode_prob	lb	ub	capture
161	0.339	101	-1.5586530870006148	-5.513186426316122	1.486400063810004	6ZUV_A	4.2	4.43	0.001	4.2	8.478	4.016	6.468	1
162	0.959	10	-1.5585338641256523	-5.512409099469569	1.486912438725976	3EIV_D	7.0	7.327	1.576	7.4	1.697	6.603	7.978	1
163	0.61	67	-1.559733999657504	-5.523431154764065	1.4774506380461634	5A7B_B	7.2	6.964	0.44	7.2	5.076	6.043	7.642	1
164	0.942	19	-1.5599962071442155	-5.524975437304081	1.4749440597631405	1TPY_A	6.5	6.615	0.485	6.51	0.588	4.565	8.754	1
165	0.974	1	-1.5599994770543897	-5.5249854614443015	1.4745228061708913	3NPE_A	7.5	6.65	0.346	6.6	0.346	4.743	8.598	1
166	1.0	0	-1.5599994770543897	-5.5249854614443015	1.4745228061708913	2NUG_F	8.5	6.8	0.311	6.8	0.311	4.693	8.908	1
167	0.947	17	-1.5602690378312196	-5.527045086252935	1.472060227522596	3LJM_C	6.0	7.211	0.017	8.5	1.645	4.594	8.588	1
168	0.801	127	-1.5609126202304326	-5.532916060325892	1.4667698848995965	5J9V_A	9.0	7.48	0.553	9.0	2.513	4.588	9.055	1
169	0.917	61	-1.5611892684321522	-5.534951869888404	1.4641954514975557	6GFU_A	7.5	6.964	0.529	7.52	0.877	4.612	8.846	1
170	0.989	17	-1.5611833625262348	-5.534931928205792	1.4638870878950998	2V36_D	7.5	7.489	0.105	7.0	1.94	4.826	9.274	1
171	0.933	12	-1.5613722231823561	-5.5366961491707976	1.462077196100644	4XZU_M	6.0	7.531	1.865	7.5	2.273	5.983	10.207	1
172	0.967	21	-1.5614425911283032	-5.536945798532993	1.4610440005778815	4IF2_A	7.0	7.168	0.349	7.45	0.366	4.827	9.012	1
173	1.0	0	-1.5614425911283032	-5.536945798532993	1.4610440005778815	1IHH_B	7.0	6.8	0.311	6.8	0.311	4.693	8.908	1
174	0.695	19	-1.5623087100098745	-5.545002584475216	1.4540372534553265	3H61_D	8.0	7.54	0.734	8.0	4.039	5.57	8.569	1
175	0.959	28	-1.562441738748435	-5.5460184995668484	1.4526246268509262	3WV6_B	7.5	6.879	0.489	8.5	0.952	4.521	9.419	1
176	0.984	1	-1.562441738748435	-5.5460184995668484	1.452281634258376	5EP6_D	7.0	6.4	0.148	6.0	5.615	5.153	8.438	1
177	0.784	21	-1.5630189288527532	-5.55131154626566	1.4474701626459752	5WM7_A	6.5	6.95	0.258	6.5	2.82	5.341	8.628	1
178	0.433	138	-1.5647520270762925	-5.567189788261382	1.4336658101129498	6FJM_F	6.7	6.642	2.08	6.7	7.462	6.453	6.758	1
179	0.905	256	-1.5650695059118473	-5.570054802312124	1.4308629254815908	2F0L_A	7.5	7.455	0.618	8.0	2.089	5.953	9.024	1
180	0.609	8	-1.5661612102398559	-5.580094222531007	1.4219446083574578	4J0D_B	5.5	5.811	0.058	5.5	5.306	4.796	8.689	1
181	0.995	3	-1.5661612102398559	-5.580094222531007	1.42166296430321	2B4E_A	5.5	7.425	1.321	8.0	3.045	5.713	8.058	0
182	0.754	113	-1.5668275513390266	-5.585681831133074	1.416050397191396	4LB9_A	7.5	6.949	0.93	7.5	3.144	4.606	7.658	1
183	0.769	10	-1.5675349614063865	-5.5921435495601735	1.410140590745314	4TZC_D	5.0	6.336	0.229	5.0	3.06	4.963	8.498	1
184	0.985	3	-1.5675474532098543	-5.592173289193866	1.4097218557659508	5LX8_A	4.6	6.15	0.254	6.27	0.255	3.515	8.659	1
185	0.951	23	-1.5676750369579293	-5.593270666786857	1.4084375571535794	6Z9J_B	8.0	6.546	0.46	5.5	1.846	4.553	8.466	1
186	0.984	11	-1.5676424731187497	-5.593092220853546	1.4084271996572126	7T88_A	6.5	7.108	0.344	7.48	0.411	4.37	8.912	1
187	1.0	0	-1.5676424731187497	-5.593092220853546	1.4084271996572126	5T1P_H	6.5	6.8	0.311	6.8	0.311	4.693	8.908	1
