iteration	loss	n_i	w_0	w_1	ID	y	yhat
220	-0.014632325860560347	1	-1.0413920649634985	2.989313469521177	1ZWY_D	0.0	0.014525793618310112
221	-0.007289400049020426	3	-1.0413920649634985	2.989313469521177	3A43_B	0.0	0.007262896809155056
222	-0.0004151088205549485	69	-1.0413920649634985	2.989313469521177	4IBT_D	0.0	0.00041502267480886035
223	-0.007289400049020426	3	-1.0413920649634985	2.989313469521177	3A9H_A	0.0	0.007262896809155056
224	-0.007289400049020426	3	-1.0413920649634985	2.989313469521177	5JGJ_A	0.0	0.007262896809155056
225	-0.005827263013035162	4	-1.0413920649634985	2.989313469521177	5B6A_A	0.0	0.005810317447324045
226	-2.8952825742120107	112	-1.0435092809362674	2.989329428699056	2GF9_A	1.0	0.05528340122380576
227	-0.0014670448378686107	419	-1.0434586822916552	2.9893364845847916	5P0I_A	0.0	0.0014659692536315356
228	-0.09102944882590057	11	-1.0435082680402168	2.989382607024601	3SYV_H	0.0	0.08700917600445082
229	-0.029481940049237265	0	-1.0435082680402168	2.989382607024601	6XI3_AAA	0.0	0.029051587236620224
230	-0.0010380953215696428	27	-1.0435082680402168	2.989382607024601	1IFV_B	0.0	0.0010375566870221508
231	-0.021831601030644066	106	-1.0436774008789897	2.9893508750517475	2VF6_A	0.0	0.02159501643007383
232	-0.0002168263949694088	133	-1.0436774008789897	2.9893508750517475	5KZM_B	0.0	0.00021680288982552404
233	-0.007289400049020426	3	-1.0436774008789897	2.9893508750517475	1SDE_A	0.0	0.007262896809155056
234	-0.0014536353779875724	19	-1.0436774008789897	2.9893508750517475	2GQS_B	0.0	0.0014525793618310112
235	-0.00047636897415424557	60	-1.0436774008789897	2.9893508750517475	5JI5_A	0.0	0.000476255528469184
236	-0.00485369133150788	5	-1.0436774008789897	2.9893508750517475	3IP9_A	0.0	0.00484193120610337
237	-0.003638058120080859	7	-1.0436774008789897	2.9893508750517475	4NUH_A	0.0	0.003631448404577528
238	-0.029481940049237265	0	-1.0436774008789897	2.9893508750517475	2RJN_A	0.0	0.029051587236620224
239	-0.01981213915085555	119	-1.0438530195804039	2.9893236259191727	4FK3_B	0.0	0.019617168440625745
240	-0.0032331752199965336	8	-1.0438530195804039	2.9893236259191727	6RP3_A	0.0	0.003227954137402247
241	-8.160891204201064e-05	355	-1.0438530195804039	2.9893236259191727	4ALG_A	0.0	8.160558212533771e-05
242	-0.0007088264565809004	40	-1.0438530195804039	2.9893236259191727	5EJH_A	0.0	0.0007085752984541518
243	-0.17588451009179296	266	-1.0448483992668802	2.988969714952589	3R4M_A	0.0	0.16128515915608502
244	-0.004158862841899563	6	-1.0448483992668802	2.988969714952589	4FEV_F	0.0	0.004150226748088603
245	-0.0008807388650167197	32	-1.0448483992668802	2.988969714952589	1NO3_A	0.0	0.000880351128382431
246	-0.02762228759152002	1769	-1.044784198085439	2.988974638118337	7T0F_L	0.0	0.02724428067431476
247	-0.0006183099916065024	46	-1.044784198085439	2.988974638118337	5EQT_A	0.0	0.0006181188773748984
248	-0.002909386888245293	9	-1.044784198085439	2.988974638118337	5D9T_A	0.0	0.0029051587236620224
249	-0.0011627392087781203	24	-1.044784198085439	2.988974638118337	6PBC_A	0.0	0.001162063489464809
250	-0.012550123064395844	105	-1.0450021277613841	2.988934492389665	3B6U_B	0.0	0.012471698691272865
251	-0.007289400049020426	3	-1.0450021277613841	2.988934492389665	3T6Q_D	0.0	0.007262896809155056
252	-0.002909386888245293	9	-1.0450021277613841	2.988934492389665	2WXY_C	0.0	0.0029051587236620224
253	-0.011509037609847082	176	-1.0449972422630611	2.98893997960709	1RNZ_A	0.0	0.011443061984376397
254	-0.010899100985046964	462	-1.0449934445511067	2.988943099839242	6WV7_B	0.0	0.01083992098198523
255	-0.026863569626415135	39	-1.0449975104320626	2.9889819219053657	3R6Y_H	0.0	0.026505953378730525
256	-0.00485369133150788	5	-1.0449975104320626	2.9889819219053657	4C0W_A	0.0	0.00484193120610337
257	-0.00039804615830884497	72	-1.0449975104320626	2.9889819219053657	3FB6_C	0.0	0.00039796694844685234
258	-0.025049764323474333	784	-1.0450318754523111	2.9889754418760655	6GS4_H	0.0	0.024738622401965657
259	-0.0013843667095926608	20	-1.0450318754523111	2.9889754418760655	4UD6_S	0.0	0.0013834089160295344
260	-0.02704099864879283	1832	-1.0449913554607668	2.9889807076182078	7T0J_L	0.0	0.026678664153307986
