iteration	loss	n_p	w_0	w_1	ID	y	yhat
236	-0.7379920207810411	5	-1.1054540967566804	2.9870354795111917	5YS9_B	0.0	0.5219270871503914
237	-0.7153574653900929	15	-1.1097331260658265	2.986398232949378	5U0H_A	0.0	0.5109827262016138
238	-0.4548134155274507	326	-1.1089574326361331	2.986569664187419	3TCP_B	1.0	0.634566357132136
239	-0.764026061253622	125	-1.1110547954587215	2.9857206255851825	2BJJ_X	0.0	0.5342126415108355
240	-0.6868638563389622	10	-1.1110547954587215	2.9857206255851825	6AWF_H	1.0	0.5031515528560436
241	-0.5627493880749024	14	-1.1111472137119867	2.986132754550599	1RKD_A	0.0	0.43035925459366814
242	-0.7347422631756029	23	-1.1109648900654245	2.986235102716782	5FWI_C	1.0	0.4796290611168989
243	-0.36095950331518556	7	-1.112545175051062	2.9862030970182616	6Y41_P	0.0	0.30299277562278004
244	-2.1513138149729243	3	-1.1125451824282193	2.9862030907121033	1YZX_B	0.0	0.8836687803688846
245	-0.3417841828626179	4	-1.1130858728354944	2.9859197411398837	4PXQ_B	1.0	0.7105015265694095
246	-0.023541542541121976	19	-1.1130858736252642	2.985919740475394	6VZH_D	1.0	0.9767333978386724
247	-0.2595373454875953	92	-1.1132671212037397	2.9859069152074285	4N70_A	0.0	0.2285916011667503
248	-0.6059054690871752	21	-1.1163704940838655	2.9852501648719985	2QUJ_B	0.0	0.45441980308427415
249	-0.2726061395089503	18	-1.1163776550385671	2.9852457940029034	3AG2_Z	0.0	0.23860738895157213
250	-0.62611100350748	0	-1.1163776550385671	2.9852457940029034	2XDG_B	1.0	0.5346670814164797
251	-0.3553597494508913	4	-1.1176140490410518	2.984691399665523	3SGL_A	0.0	0.29907875818522495
252	-0.932123448522921	46	-1.1176469167094063	2.984741731042474	4ZTV_B	0.0	0.6062832152232143
253	-0.9667582432826727	11	-1.1176666919483182	2.9850283386757	5NWS_A	1.0	0.38031392713203427
254	-0.36394806671401747	2020	-1.1180566284026254	2.9848937166511433	6L8T_L	1.0	0.6949272836631539
255	-0.9728538203442809	233	-1.1180523518387282	2.9848894123996144	5QD5_C	0.0	0.6219972545691245
256	-0.4362526274177031	311	-1.1193098660280543	2.984611702454751	4LUD_B	1.0	0.6464543932011276
257	-0.19628875243345673	2	-1.1193098660280543	2.984611702454751	1KIL_E	0.0	0.17822508908935125
258	-0.5300100605647879	49	-1.1190722639665045	2.9846883908429764	2RK4_A	1.0	0.588599048009711
259	-0.62611100350748	0	-1.1190722639665045	2.9846883908429764	7S5N_F	1.0	0.5346670814164797
260	-0.34764593571057517	4	-1.118983004700719	2.984742130514472	4KNG_P	1.0	0.7063489248752934
261	-0.5812359884572416	52	-1.1192867702797828	2.9845670809617935	7MNH_B	1.0	0.5592067661402147
262	-0.09333592891987397	5	-1.1192867702797828	2.9845670809617935	3PWF_B	0.0	0.08911254454467563
263	-0.3607328425176701	1969	-1.1199045951424835	2.9844025977616178	7LK9_N	1.0	0.697165226496338
264	-0.1265544305088613	45	-1.1198983678737784	2.9844063844235325	4V7L_DZ	1.0	0.8811261880914554
